category,Subcategory,Metric,Value,Unit,Change vs prev year,Context,Source
Sectors,Top reporting sectors (overall),Educational and training,5,% of incident reports,,Top 10 sectors,ASD ATR 2023–24
Sectors,Top reporting sectors (overall),"Professional, scientific, and technical services",5,% of incident reports,,Top 10 sectors,ASD ATR 2023–24
Sectors,Top reporting sectors (overall),"Electricity, gas, water and wastewater services",5,% of incident reports,,Top 10 sectors,ASD ATR 2023–24
Sectors,Top reporting sectors (overall),Information media and telecommunications,5,% of incident reports,,Top 10 sectors,ASD ATR 2023–24
Sectors,Top reporting sectors (overall),Financial and insurance services,4,% of incident reports,,Top 10 sectors,ASD ATR 2023–24
Sectors,Top reporting sectors (overall),"Transport, postal and warehousing",4,% of incident reports,,Top 10 sectors,ASD ATR 2023–24
Sectors,Top reporting sectors (overall),Retail trade,3,% of incident reports,,Top 10 sectors,ASD ATR 2023–24
Critical Infrastructure,Incidents,CI incidents responded to,128,incidents,−10%,,ASD ATR 2023–24
Critical Infrastructure,Activity types leading to incidents,Phishing,23,% of CI incidents,,,ASD ATR 2023–24
Critical Infrastructure,Activity types leading to incidents,Exploitation of public-facing application,21,% of CI incidents,,,ASD ATR 2023–24
Critical Infrastructure,Activity types leading to incidents,Brute-force activity,15,% of CI incidents,,,ASD ATR 2023–24
Critical Infrastructure,Incident types,Compromised account or credentials,32,% of CI incidents,,,ASD ATR 2023–24
Critical Infrastructure,Incident types,Malware infection (other than ransomware),17,% of CI incidents,,,ASD ATR 2023–24
Critical Infrastructure,Incident types,"Compromised asset, network or infrastructure",12,% of CI incidents,,,ASD ATR 2023–24
Critical Infrastructure,DDoS representation,Share of CI incidents that are DoS/DDoS,11,% of CI incidents,,vs 5% in non-CI incidents,ASD ATR 2023–24
Critical Infrastructure,Top reporting CI sectors,"Electricity, gas, water & waste services",30,% of CI sector reports,,,ASD ATR 2023–24
Critical Infrastructure,Top reporting CI sectors,Education & training,17,% of CI sector reports,,,ASD ATR 2023–24
Critical Infrastructure,Top reporting CI sectors,"Transport, postal & warehousing",15,% of CI sector reports,,,ASD ATR 2023–24
Cybercrime Types (Business),Top 3,Email compromise (no financial loss),20,% of business reports,,,ASD ATR 2023–24; Businesses & Orgs factsheet
Cybercrime Types (Business),Top 3,Online banking fraud,13,% of business reports,,,ASD ATR 2023–24; Businesses & Orgs factsheet
Cybercrime Types (Business),Top 3,Business email compromise (financial loss),13,% of business reports,,,ASD ATR 2023–24; Businesses & Orgs factsheet
Individuals,Reporting,Cybercrime reports,87400,reports,-7%,Average ~1 report every 6 minutes,User provided text
Individuals,Hotline,Australian Cyber Security Hotline calls,36700,calls,0.12,Avg ~100 calls/day,User provided text
Cybercrime Types (Individuals),Top 3,Identity fraud,26,% of individual reports,,,User provided text
Cybercrime Types (Individuals),Top 3,Online shopping fraud,15,% of individual reports,,,User provided text
Cybercrime Types (Individuals),Top 3,Online banking fraud,12,% of individual reports,,,User provided text
Individuals,Impact,Average self-reported cost per report,30700,AUD,0.17,,User provided text
Individuals,Data Breach,People affected by data breaches,34,% of respondents,,Cybercrime in Australia 2023 (AIC),User provided text
Individuals,Data Breach,Notified after data breach,79,% of affected respondents,,,User provided text
Individuals,Households,Average devices per household,12,devices,,Average Australian household online devices,User provided text
